type,bedrooms,bathrooms,area,used area,furniture status,balcony,garage,private_pool,floors,begin_at,Bình Chánh,Bình Thạnh,Bình Tân,Gò Vấp,Hồ Chí Minh,Nhà Bè,Phú Nhuận,Quận 1,Quận 10,Quận 11,Quận 12,Quận 2,Quận 3,Quận 4,Quận 5,Quận 6,Quận 7,Quận 8,Quận 9,Thủ Đức,Tân Bình,Tân Phú,Giấy tay,HĐ mua bán,Khác,Sổ hồng,Sổ đỏ
0,1,1,47,43,0,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,1,59.1,54.6,0,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,1,59.1,54.8,0,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,2,63,59,1,0,0,0,6,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,1,69.5,63,0,0,0,0,32,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,2,77,77,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,53.2,75.61679186,1,0,0,0,22,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,120,120,2,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,58.5,58.5,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,69,69,2,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,2,70,70,2,0,0,0,13.7204611,1576874342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,64,64,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,2,59,59,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,41,41,2,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,2,1,61,61,2,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,2,2,69.19,69.19,1,0,0,0,29,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,1,51,48,1,0,0,0,8,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,47,42,1,0,0,0,29,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,47,43,1,0,0,0,8,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,2,66.6,75.61679186,1,0,0,0,10,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,69.2,63.4,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,2,1,47,43.9,0,0,0,0,5,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,2,110,110,1,0,0,0,1,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,85.52,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
